Issue Key,SUMMARY,FixVersion,Parent,CE,EE
EE-6537,Button to reload image up to date indicators,EE-2.20.0,,-,✓
EE-6361,Introduce alpha version for 2.20,EE-2.20.0,,-,✓
EE-6355,Hide secrets section of edge configuration in beta,EE-2.20.0,,-,✓
EE-6267,Introduce 2.20 Beta,EE-2.20.0,,-,✓
EE-6080,Remove the feature flag for transactions,EE-2.20.0,,✓,✓
EE-6078,Simplify the code using Go 1.21 features,EE-2.20.0,,✓,✓
EE-6042,Database optimizations,EE-2.20.0,,✓,✓
EE-5976,bump chisel version to 1.90,EE-2.20.0,,✓,✓
EE-5254,Remove lightbulb panel for Docker GPU support changes,EE-2.20.0,,✓,✓
EE-6218,Improve code sharing between CE and EE (wave 1),EE-2.20.0,,-,✓
EE-6477,Stream activity and auth logs to SIEM,EE-2.20.0,,-,✓
EE-5975,Improvements for scheduler date & time,EE-2.20.0,,-,✓
EE-6140,Mitigate nefarious actors creating API tokens in other users' Portainer UI sessions,EE-2.20.0,,✓,✓
EE-5866,[Pen Test][Low] CSV Injection in Authentication Logs,EE-2.20.0,,✓,✓
EE-5861,[Pen Test][Low] Broken Access Control - Add Shared Credentials page,EE-2.20.0,,-,✓
EE-6060,Nomad removal from Portainer,EE-2.20.0,,-,✓
EE-4692,Migrate Kubernetes nodes table to React,EE-2.20.0,,✓,✓
EE-5028,List and manage Kubernetes Cluster Roles,EE-2.20.0,,-,✓
EE-4808,List and manage Kubernetes Roles,EE-2.20.0,,-,✓
EE-2633,List and manage Kubernetes Service Accounts,EE-2.20.0,,-,✓
EE-5947,Introduce option to enforce admin-only view/edit of Kube Secret contents in the UI,EE-2.20.0,,-,✓
EE-6170,Introduce means to turn off Kubernetes Stacks,EE-2.20.0,,✓,✓
EE-6168,Rename Kubernetes Advanced deployment screen as Create from manifest,EE-2.20.0,,✓,✓
EE-5999,Move Kubernetes Helm option to Advanced deployment screen,EE-2.20.0,,✓,✓
EE-5666,Adjust Portainer menu structure,EE-2.20.0,,✓,✓
EE-5051,Kubernetes Advanced deployment screen Stack field is incorrectly labelled Name,EE-2.20.0,,✓,✓
EE-6465,Vanilla Kubernetes - test 1.29 support,EE-2.20.0,,✓,✓
EE-6223,Civo Kubernetes provision KaaS - test 1.27 support for Talos Linux (talos-v1.5.0),EE-2.20.0,,-,✓
EE-6222,Linode Kubernetes Engine (LKE) provision KaaS - test 1.27 support,EE-2.20.0,,-,✓
EE-6221,Azure Kubernetes Service (AKS) provision KaaS - test 1.28 support,EE-2.20.0,,-,✓
EE-6220,Digital Ocean Kubernetes (DOKS) provision KaaS - test 1.28 support,EE-2.20.0,,-,✓
EE-6219,"Amazon EKS provision KaaS - add + test 1.28 support, including updating eksctl",EE-2.20.0,,-,✓
EE-6089,MicroK8s create cluster - test 1.28 support,EE-2.20.0,,-,✓
EE-6059,Edge App Template List,EE-2.20.0,,-,✓
EE-5573,Introduce Edge App Templates and Custom Templates,EE-2.20.0,,-,✓
EE-6176,Introduce Edge Admin Role to Edge,EE-2.20.0,,-,✓
EE-6293,Introduce front-end caching for Kubernetes environments to cater for large-scale or high-latency scenarios,EE-2.20.0,,✓,✓
EE-5901,[Spike] Investigate use of Kubernetes watch functionality to improve performance,EE-2.20.0,,✓,✓
EE-5734,Migrate Kubernetes Application Details Angular view to React - beyond Summary and Details,EE-2.20.0,,✓,✓
EE-5524,Migrate kubernetes/cluster/configure (Cluster Setup) Angular view to React,EE-2.20.0,,✓,✓
EE-2309,Migrate kubernetes/applications/create and edit Angular views to React,EE-2.20.0,,✓,✓
EE-2226,Migrate (Namespace) kubernetes/resource-pools/create Angular view to React,EE-2.20.0,,✓,✓
EE-5731,MicroK8s - Allow enabling/disabling of mayastor (core) addon (that has prerequisites),EE-2.20.0,,-,✓
EE-5730,MicroK8s - Allow enabling/disabling of minio (core) addon (that has prerequisites),EE-2.20.0,,-,✓
EE-6228,Separation of relative path and gitops edge configuration,EE-2.20.0,,-,✓
EE-6181,Edge configuration match by edge group,EE-2.20.0,,-,✓
EE-6163,"Reorganized ""Relative Path"" and ""GitOps Edge Configuration"" into a single section for Edge Stack",EE-2.20.0,,-,✓
EE-5962,GitOps Edge configuration based on edge group with git,EE-2.20.0,,-,✓
EE-5925,Capture product usage data at license check-in,EE-2.20.0,,-,✓
EE-2834,Allow stopping of a Kube application by scaling it to 0,EE-2.20.0,,✓,✓
EE-6459,2023-12-13 Portainer CE & EE CVEs,EE-2.20.0,,✓,✓
EE-5864,[Pen Test][Low] Sensitive Information in Local Storage,EE-2.20.0,,✓,✓
EE-5859,[Pen Test][Low] Broken Access Control - Environment Group Access,EE-2.20.0,,✓,✓
EE-5858,[Pen Test][Low] Broken Access Control - Global Admin - Read User Tokens,EE-2.20.0,,✓,✓
EE-5799,2023-07-26 Portainer Agent,EE-2.20.0,,✓,✓
EE-5798,2023-07-26 Portainer CE & EE,EE-2.20.0,,✓,✓
EE-6106,[Develop] container command and entrypoint aren't persisted,EE-2.20.0,,✓,✓
EE-6554,[Develop] Persisted folders react migration issues,EE-2.20.0,,✓,✓
EE-6552,[Develop] Errors on Placement tab for daemonsets,EE-2.20.0,,✓,✓
EE-6548,Swagger API documentation - further errors,EE-2.20.0,,✓,✓
EE-6547,[Develop] Can't see error details when updating malformed Kubernetes resource YAML,EE-2.20.0,,-,✓
EE-6544,[Develop] Update application button enabled when no changes have been made,EE-2.20.0,,✓,✓
EE-6527,[Develop] Enabling/Disabling of autoscaling toggle doesn't take affect on first load of Create/Edit application screen,EE-2.20.0,,✓,✓
EE-6523,[Develop] 'Unable to patch service' error after editing a statefulset,EE-2.20.0,,-,✓
EE-6519,[Develop] Can't update cluster settings on changing storage class access policy,EE-2.20.0,,✓,✓
EE-6517,[Develop] Text input issue on certain text fields,EE-2.20.0,,✓,✓
EE-6516,[Develop] Kubernetes Cluster Setup screen RBAC not enabled warning is missing wording,EE-2.20.0,,✓,✓
EE-6515,[Develop] K8s Create/Edit application summary issues,EE-2.20.0,,✓,✓
EE-6508,[Develop] Kube Add Namespace should error with 'Not enough resources available' if over-commit is off and there aren't enough resources (resource quota error),EE-2.20.0,,✓,✓
EE-6507,[Develop] Docker Network icon should match updated menu icon,EE-2.20.0,,✓,✓
EE-6480,"""Unable to determine which association to use to convert form"" when editing an external pod",EE-2.20.0,,✓,✓
EE-6479,[Develop] K8s Application details screen shows incorrect environment variable value,EE-2.20.0,,✓,✓
EE-6478,[Develop] Edits to stack field on Kube applications don't immediately show after updating,EE-2.20.0,,-,✓
EE-6458,CE GitLab template needs updating and has an invalid documentation link,CE-2.20.0,,✓,-
EE-6443,[2.19Regression] K8s application deployment does not remember saved Git credentials,EE-2.20.0,,-,✓
EE-6439,"[NOT2.19Regression] ""Unable to download backup"" error when portainer_data is stored on network volume",EE-2.20.0,,✓,✓
EE-6428,"[MustHave][2.19Regression][REVIEWED] Swagger API documentation - incorrect POST endpoints for creation of custom templates via file, repository or string",EE-2.20.0,,✓,✓
EE-6426,[2.19Regression] Adding a persisted folder on Create application screen causes focus to jump up to first empty field,EE-2.20.0,,✓,✓
EE-6423,[2.19Regression][REVIEWED] Kube Secrets and ConfigMaps table no longer shows 'unused' tag for Pod deployments,EE-2.20.0,,✓,✓
EE-6403,"[2.19Regression][REVIEWED] When editing a pod created via manifest, the incorrect screen shows along with error toasts",EE-2.20.0,,✓,✓
EE-6392,[NOT2.19Regression][CE only][REVIEWED] Kube Edit Application screen is blank when editing external application,CE-2.20.0,,✓,-
EE-6389,[Develop] Update button doesn't enable after editing an external Kube application,EE-2.20.0,,-,✓
EE-6381,[Develop] Application details UI switches to show app as 'external' after navigating away from and back to Portainer,EE-2.20.0,,✓,✓
EE-6379,[Develop] Invalid Stack Name error when editing a Kube application,CE-2.20.0,,✓,-
EE-6376,[Develop] Application create/edit form error ,CE-2.20.0,,✓,-
EE-6369,"[NOT2.19Regression][REVIEWED] When creating a Kube Namespace after disabling over-commit, ""Value must be between 0 and -x."" warning incorrectly shows ",EE-2.20.0,,-,✓
EE-6367,Rollback is no longer finding backed up db,EE-2.20.0,,✓,✓
EE-6366,[Develop] Console errors when loading namespace details as a non-admin user,EE-2.20.0,,-,✓
EE-6362,[NotRegression][REVIEWED] Log viewer not displaying lines that are only numbers,EE-2.20.0,,✓,✓
EE-6358,[Develop] Create Kube Namespace screen issues,EE-2.20.0,,✓,✓
EE-6348,[2.19Regression][REVIEWED] Back up Portainer - settings section header typo,EE-2.20.0,,✓,✓
EE-6347,[NOTRegression][REVIEWED] Backup settings revert to default view after saving as S3,EE-2.20.0,,✓,✓
EE-6346,[Regression][REVIEWED] Commit link for stack incorrectly keeps .git as extension,EE-2.20.0,,✓,✓
